committee_type,sub_committe,name,role,organization,country
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Manoj Kumar Vunnava,,GoDaddy,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Manoj Kumar Reddy Jaggavarapu,,Progress Residential LLC,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mathew Sebastian,,Lucid Motors,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mohan Singh,,Amazon,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Muruganantham Angamuthu,,TTI Consumer Power Tools Inc.,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,NAGARAJ V. DHARWADKAR,,"Central University of Karnataka, Kalaburagi",India
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nagaraju Unnava,,Westernunion,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nagesh Shenisetty,,FedEx Express,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nanda Kishore Chevuri,,Connvertex Technologies Inc.,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Narendranath Yenuganti,,Mudrasys Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Naveen K Chandu,,American Express,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Naveen Kumar Dodde Gowda,,"Couchbase, Inc. Software Industry",
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Naveen Kumar Pedada,,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nazim Ahmed Khan,,Cisco Systems,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nilesh Singh,,Comcast corporation,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nimra iqbal,,,UTP
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nishant Nisan Jha,, Walmart,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Parag A Tamhankar,,Georgia State University,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Parbhat Gupta,,"SRM Institute of Science and Technology, Delhi NCR Campus","Modinagar, Ghaziabad, UP"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Parul Purwar,,IMC,
